# The verdict each repro script must give against the fux built from this
# commit, per platform. check.sh runs every script three ways and compares:
#   reproduce:          this table's value (0 reproduced, 1 not, 2 n/a here)
#   NEGATIVE_CONTROL=1: 1, or 2 where the reproduce column is 2
#   a missing binary:   2
# A fix changes a 0 to 1 here in the same commit; a regression turns CI red.
# script	linux	macos
001	1	1
002	1	1
003	1	1
004	1	1
005	1	1
006	1	1
007	1	1
008	1	1
009	1	1
010	1	2
011	0	0
012	1	2
013	1	1
014	1	2
015	1	1
016	1	1
017	1	1
018	1	1
019	1	1
020	1	1
